特征,重要性
A行为类型,0.2688678587597989
O上游犯罪,0.23278338225840206
被告人人数,0.2316285760711971
职业,0.22133945755983464
D 竞合关系,0.2112428916031484
C2转出资金（千元）,0.20768385546785142
C4介绍他人,0.20758240225044042
C1次数,0.20567415643876744
坦白 +,0.20488785395375145
认罪认罚从宽,0.19303891375739163
退出+,0.187909844685753
自首+,0.18590445605402156
民族,0.18588908070987972
从犯+,0.18584125210629956
B参与时点,0.18210583945840245
是否再犯,0.18099989877694522
年龄,0.17510813338854617
C3非法获利（千元）,0.1683340231363605
前科数量,0.15631998479645207
文化程度编码,0.1551151968420149
前科2名称,0.1547265960878671
前科1名称,0.15307100507911123
性别,0.1508364522070754
C5联系上线,0.1492901136816465
户籍地,0.14755993736228798
前科3名称,0.0636869493006772
